"GENE_NAME","Sumo","Diff","minLogP"
"C17orf62","PIAS3",NA,NA
"C17orf62","PIAS4",NA,NA
"C17orf62","ZMIZ2","3.57","2.01"
"C17orf62","ZNF451",NA,NA
"C18orf25","LAZSUL",NA,NA
"C18orf25","NSMCE2","5.15","14.94"
"C18orf25","PIAS1",NA,NA
"C18orf25","PIAS2",NA,NA
"C18orf25","PIAS3",NA,NA
"C18orf25","PIAS4",NA,NA
"C18orf25","ZMIZ2",NA,NA
"C18orf25","ZNF451",NA,NA
"C20orf27","LAZSUL","2.5","4.6"
"C20orf27","NSMCE2",NA,NA
"C20orf27","PIAS1",NA,NA
"C20orf27","PIAS2",NA,NA
"C20orf27","PIAS3",NA,NA
"C20orf27","PIAS4",NA,NA
"C20orf27","ZMIZ2",NA,NA
"C20orf27","ZNF451",NA,NA
"C6orf120","LAZSUL",NA,NA
"C6orf120","NSMCE2",NA,NA
"C6orf120","PIAS1",NA,NA
"C6orf120","PIAS2",NA,NA
"C6orf120","PIAS3",NA,NA
"C6orf120","PIAS4","4.42","4.34"
"C6orf120","ZMIZ2",NA,NA
"C6orf120","ZNF451",NA,NA
"C6orf89","LAZSUL",NA,NA
"C6orf89","NSMCE2",NA,NA
"C6orf89","PIAS1",NA,NA
"C6orf89","PIAS2",NA,NA
"C6orf89","PIAS3",NA,NA
"C6orf89","PIAS4",NA,NA
"C6orf89","ZMIZ2","2.65","3.92"
"C6orf89","ZNF451",NA,NA
"C7orf26","LAZSUL",NA,NA
"C7orf26","NSMCE2",NA,NA
"C7orf26","PIAS1",NA,NA
"C7orf26","PIAS2",NA,NA
"C7orf26","PIAS3",NA,NA
"C7orf26","PIAS4",NA,NA
"C7orf26","ZMIZ2","2.32","3.43"
"C7orf26","ZNF451",NA,NA
"CACNA1H","LAZSUL",NA,NA
"CACNA1H","NSMCE2",NA,NA
"CACNA1H","PIAS1",NA,NA
"CACNA1H","PIAS2",NA,NA
"CACNA1H","PIAS3",NA,NA
"CACNA1H","PIAS4",NA,NA
"CACNA1H","ZMIZ2","2","2.34"
"CACNA1H","ZNF451",NA,NA
"CALR","LAZSUL",NA,NA
"CALR","NSMCE2",NA,NA
"CALR","PIAS1","5.34","4.27"
