"GENE_NAME","Sumo","Diff","minLogP","SATT index"
"ATP5J2","PIAS2",0.64,1.64,0.687956875
"ATP5J2","PIAS3",NA,NA,NA
"ATP5J2","PIAS4",NA,NA,NA
"ATP5J2","LAZSUL",NA,NA,NA
"ATP5J2","ZNF451",NA,NA,NA
"ATP5J2","ZMIZ2",NA,NA,NA
"ATP6AP2","NSMCE2",NA,NA,NA
"ATP6AP2","PIAS1",NA,NA,NA
"ATP6AP2","PIAS2",NA,NA,NA
"ATP6AP2","PIAS3",NA,NA,NA
"ATP6AP2","PIAS4",NA,NA,NA
"ATP6AP2","LAZSUL",0.52,1.56,0.878316172
"ATP6AP2","ZNF451",NA,NA,NA
"ATP6AP2","ZMIZ2",NA,NA,NA
"ATP6V0D1","NSMCE2",NA,NA,NA
"ATP6V0D1","PIAS1",NA,NA,NA
"ATP6V0D1","PIAS2",2.82,1.38,0.804656914
"ATP6V0D1","PIAS3",NA,NA,NA
"ATP6V0D1","PIAS4",NA,NA,NA
"ATP6V0D1","LAZSUL",NA,NA,NA
"ATP6V0D1","ZNF451",NA,NA,NA
"ATP6V0D1","ZMIZ2",NA,NA,NA
"ATP6V1H","NSMCE2",NA,NA,NA
"ATP6V1H","PIAS1",NA,NA,NA
"ATP6V1H","PIAS2",NA,NA,NA
"ATP6V1H","PIAS3",NA,NA,NA
"ATP6V1H","PIAS4",NA,NA,NA
"ATP6V1H","LAZSUL",0.46,1.47,0.759603058
"ATP6V1H","ZNF451",NA,NA,NA
"ATP6V1H","ZMIZ2",NA,NA,NA
"ATRX","NSMCE2",2.86,1.98,0.141903262
"ATRX","PIAS1",NA,NA,NA
"ATRX","PIAS2",NA,NA,NA
"ATRX","PIAS3",NA,NA,NA
"ATRX","PIAS4",4.24,4.86,0.44698093
"ATRX","LAZSUL",NA,NA,NA
"ATRX","ZNF451",NA,NA,NA
"ATRX","ZMIZ2",NA,NA,NA
"ATXN10","NSMCE2",NA,NA,NA
"ATXN10","PIAS1",NA,NA,NA
"ATXN10","PIAS2",2.65,1.9,0.927594548
"ATXN10","PIAS3",NA,NA,NA
"ATXN10","PIAS4",NA,NA,NA
"ATXN10","LAZSUL",NA,NA,NA
"ATXN10","ZNF451",NA,NA,NA
"ATXN10","ZMIZ2",NA,NA,NA
"ATXN2","NSMCE2",NA,NA,NA
"ATXN2","PIAS1",NA,NA,NA
"ATXN2","PIAS2",NA,NA,NA
"ATXN2","PIAS3",NA,NA,NA
"ATXN2","PIAS4",NA,NA,NA
"ATXN2","LAZSUL",NA,NA,NA
"ATXN2","ZNF451",0.78,1.7,-0.075671375
"ATXN2","ZMIZ2",NA,NA,NA
"ATXN7","NSMCE2",NA,NA,NA
"ATXN7","PIAS1",NA,NA,NA
"ATXN7","PIAS2",NA,NA,NA
"ATXN7","PIAS3",NA,NA,NA
"ATXN7","PIAS4",1.91,2.49,0.128372296
"ATXN7","LAZSUL",NA,NA,NA
"ATXN7","ZNF451",NA,NA,NA
"ATXN7","ZMIZ2",NA,NA,NA
"AXIN1","NSMCE2",NA,NA,NA
"AXIN1","PIAS1",NA,NA,NA
"AXIN1","PIAS2",2.57,1.48,0.428487387
"AXIN1","PIAS3",NA,NA,NA
"AXIN1","PIAS4",NA,NA,NA
"AXIN1","LAZSUL",NA,NA,NA
"AXIN1","ZNF451",NA,NA,NA
"AXIN1","ZMIZ2",NA,NA,NA
"AXIN2","NSMCE2",0.34,2.71,2.913629978
"AXIN2","PIAS1",NA,NA,NA
"AXIN2","PIAS2",NA,NA,NA
"AXIN2","PIAS3",NA,NA,NA
"AXIN2","PIAS4",NA,NA,NA
"AXIN2","LAZSUL",NA,NA,NA
"AXIN2","ZNF451",NA,NA,NA
"AXIN2","ZMIZ2",NA,NA,NA
"B4GALT4","NSMCE2",NA,NA,NA
"B4GALT4","PIAS1",NA,NA,NA
"B4GALT4","PIAS2",NA,NA,NA
"B4GALT4","PIAS3",NA,NA,NA
"B4GALT4","PIAS4",NA,NA,NA
"B4GALT4","LAZSUL",2.65,1.36,0.511070103
"B4GALT4","ZNF451",NA,NA,NA
"B4GALT4","ZMIZ2",NA,NA,NA
"BARD1","NSMCE2",3.84,5.51,-0.179987841
"BARD1","PIAS1",NA,NA,NA
"BARD1","PIAS2",NA,NA,NA
"BARD1","PIAS3",NA,NA,NA
"BARD1","PIAS4",3.75,5.63,0.997029445
"BARD1","LAZSUL",NA,NA,NA
"BARD1","ZNF451",NA,NA,NA
"BARD1","ZMIZ2",NA,NA,NA
"BAX","NSMCE2",NA,NA,NA
"BAX","PIAS1",NA,NA,NA
"BAX","PIAS2",NA,NA,NA
"BAX","PIAS3",NA,NA,NA
"BAX","PIAS4",NA,NA,NA
"BAX","LAZSUL",0.95,1.68,1.041232059
"BAX","ZNF451",NA,NA,NA
"BAX","ZMIZ2",NA,NA,NA
"BAZ1B","NSMCE2",NA,NA,NA
"BAZ1B","PIAS1",NA,NA,NA
"BAZ1B","PIAS2",0.29,1.76,0.275252439
"BAZ1B","PIAS3",NA,NA,NA
"BAZ1B","PIAS4",NA,NA,NA
"BAZ1B","LAZSUL",NA,NA,NA
"BAZ1B","ZNF451",NA,NA,NA
"BAZ1B","ZMIZ2",NA,NA,NA
"BBX","NSMCE2",2.77,1.75,-0.567245385
