GENE_NAME,Sumo,Diff,minLogP
BHLHE40,PIAS3,NA,NA
BHLHE41,PIAS3,NA,NA
BNC2,PIAS3,NA,NA
BRD8,PIAS3,NA,NA
BRIX1,PIAS3,NA,NA
CASP8AP2,PIAS3,NA,NA
CCAR2,PIAS3,NA,NA
CDC5L,PIAS3,NA,NA
CDK11A,PIAS3,NA,NA
CENPC,PIAS3,NA,NA
CHD4,PIAS3,NA,NA
COIL,PIAS3,NA,NA
DDX18,PIAS3,NA,NA
DKC1,PIAS3,NA,NA
DNTTIP2,PIAS3,NA,NA
ELMSAN1,PIAS3,NA,NA
EMSY;C11orf30,PIAS3,NA,NA
ETV6,PIAS3,NA,NA
EXOSC10,PIAS3,NA,NA
FAM111A,PIAS3,NA,NA
FOSL2,PIAS3,NA,NA
FOXM1,PIAS3,NA,NA
FTSJ3,PIAS3,NA,NA
GLYR1,PIAS3,NA,NA
GTF2I,PIAS3,NA,NA
GTF2IRD1,PIAS3,NA,NA
HDAC1,PIAS3,NA,NA
HDX,PIAS3,NA,NA
HIPK1,PIAS3,NA,NA
HJURP,PIAS3,NA,NA
HMBOX1,PIAS3,NA,NA
HMG20B,PIAS3,NA,NA
HNRNPC,PIAS3,NA,NA
HNRNPM,PIAS3,NA,NA
HSF1,PIAS3,NA,NA
INTS12,PIAS3,NA,NA
KANSL1,PIAS3,NA,NA
KCTD1,PIAS3,NA,NA
KDM4A,PIAS3,NA,NA
KDM5B,PIAS3,NA,NA
KIAA1551,PIAS3,NA,NA
LAMB2,PIAS3,NA,NA
LAS1L,PIAS3,NA,NA
LMNA,PIAS3,NA,NA
LMNB1,PIAS3,NA,NA
LMNB2,PIAS3,NA,NA
MAFG,PIAS3,NA,NA
MAFK,PIAS3,NA,NA
MAGED4,PIAS3,NA,NA
MATR3,PIAS3,NA,NA
MBD1,PIAS3,NA,NA
MED6,PIAS3,NA,NA
MGA,PIAS3,NA,NA
MIS18BP1,PIAS3,NA,NA
